Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT3",BAT_MS621FE-FL11E,2,MS621FE-FL11E,
BT2,BatteryHolder_Keystone_1042_1x18650,1,Battery,
"C1, C10, C11, C12, C13, C15, C32, C37, C43, C7",0603,10,0.1UF,
"C14, C19, C20, C24",0603,4,1uF,
"C16, C35, C44",0805,3,4.7uF,
"C17, C21, C22, C25, C26",0805,5,10uF,
"C18, C27, C28, C30, C34, C36, C41, C42",0603,8,100nF,
"C2, C3, C4, C5",0603,4,12pF,
C23,0603,1,1.0uF,
C29,0603,1,0.47uF,
"C31, C33, C38, C40",0603,4,2.2uF,
C39,0603,1,22uF,
C6,CP_Radial_D7.5mm_P2.50mm,1,100uF,
C8,0603,1,150pF,
C9,0805,1,22UF,
"D1, D8",0603,2,D_Schottky_Small_Filled,
D10,DIOM4336X265N,1,D_Schottky,
"D11, D5, D6",0603,3,LED_RED,
"D12, D2",0603,2,STATUS_LED_RED,
D3,DIOM4336X265N,1,D,
D4,DIOM4336X265N,1,D_Schottky_Small_Filled,
D7,1206,1,D_Schottky_Small,
D9,0603,1,LED_YELLOW,
"H1, H2, H3, H4",MountingHole_3mm_Pad_Via,4,MountingHole_Pad,
"J1, J4",USB_Micro-B_GCT_USB3076-30-A,2,USB_B_Micro,
J2,BarrelJack_CUI_PJ-063AH_Horizontal,1,Barrel_Jack_Switch,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J5, J6",Molex_CLIK-Mate_502382-0870_1x08-1MP_P1.25mm_Vertical,2,~,
J7,THD252811SDGF,1,THD2528-11SD-GF,
L1,L_7.3x7.3_H4.5,1,22uH,
L2,0603,1,39nH,
L3,L_7.3x7.3_H4.5,1,4.7UH,
Q1,TO-252-2,1,PMOS,
Q2,SOT-23,1,BC846,
"R1, R12, R13, R17, R30, R31, R32, R33, R34, R35, R37, R38, R39, R40, R9",0603,15,10k,
R10,0603,1,210K,
R11,0603,1,40.2K,
R14,0603,1,46.4k,
R15,0603,1,1K2,
"R16, R19, R2, R23, R27, R28",0603,6,1k,
R18,0603,1,1.5K,
R20,0603,1,4.7K,
R21,0603,1,47K,
R22,0603,1,0.01k,
"R24, R25",0603,2,22,
R26,0603,1,26k,
R29,0603,1,73K,
"R3, R4, R6, R8",0603,4,100K,
R36,0603,1,1.8K,
R5,0603,1,1k5,
R7,0603,1,24.9K,
SW1,SW_SPST_PTS645,1,SW_SPDT,
U1,SOT-23-6,1,USBLC6-2SC6,
U10,SOT-223-3_TabPin2,1,AMS1117-3.3,
U11,SOIC127P599X175-9N,1,FP6298,
U12,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U2,SOIC127P600X170-9N,1,MP1584EN,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F103RCTx,
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U5,SOT-23-5,1,AP2112K-3.3,
U6,RAK3172,1,~,
U7,Texas_S-PDSO-N12,1,BQ27441-G1,
U8,Quectel_L80-R,1,L80-R,
U9,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
Y1,Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal,1,32.712K,
Y2,Crystal_HC52-6mm_Vertical,1,16MH,
